Time,MSGS RECEIVED
10/09/2025 11:27:29.891 AM,"#BESTXYZA,COM2,0,90.0,FINESTEERING,2159,69541.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6048204.1423,2608704.2285,1894711.5296,2.5971,1.9551,1.7938,SOL_COMPUTED,DOPPLER_VELOCITY,-1335.9539,-2208.3967,7259.8553,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*f7ad9a6e
"
10/09/2025 11:27:30.092 AM,"#HWMONITORA,COM2,0,90.0,FINESTEERING,2159,69541.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.268620491,600,5.061782837,700,1.199023247,800,3.273504257,f00,1.818070889,1100,5.100854874,1500,33.150184631,1600*72473261
"
10/09/2025 11:27:30.292 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69542.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*6024c9da
"
10/09/2025 11:27:30.492 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69542.000,02004000,9924,16410;VALID,-3.461505202e-11,1.121669510e-09,-18.00000000000,2021,5,23,19,18,44000,VALID*48309963
"
10/09/2025 11:27:30.693 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,41,13,17,118,42,20,13,054,41*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:30.894 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69542.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6046864.3998,2606494.3987,1901970.2197,2.5970,1.9550,1.7939,SOL_COMPUTED,DOPPLER_VELOCITY,-1343.7027,-2211.3608,7257.4678,0.3104,0.2337,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*aab9c169
"
10/09/2025 11:27:31.093 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69542.000,02004000,52db,16410;9,31.807083130,100,0.129181936,200,3.271062374,600,5.061782837,700,1.194139242,800,3.271062374,f00,1.830891371,1100,5.100854874,1500,33.150184631,1600*e96b90f0
"
10/09/2025 11:27:31.294 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69543.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*37e181c3
"
10/09/2025 11:27:31.494 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69543.000,02004000,9924,16410;VALID,-1.436213964e-10,1.138650930e-09,-18.00000000000,2021,5,23,19,18,45000,VALID*401bebf4
"
10/09/2025 11:27:31.693 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,41,13,17,118,42,20,13,054,41*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
